row,col,r,newCoords,xq,yq
1.000000,1.000000,1.000000,2.105786,0.474882,0.474882
1.000000,2.000000,0.995910,2.100868,0.951988,0.475994
1.000000,3.000000,0.991837,2.095974,1.431316,0.477105
1.000000,4.000000,0.987782,2.091105,1.912864,0.478216
1.000000,5.000000,0.983743,2.086262,2.396631,0.479326
1.000000,6.000000,0.979723,2.081444,2.882615,0.480436
1.000000,7.000000,0.975720,2.076651,3.370811,0.481544
1.000000,8.000000,0.971736,2.071885,3.861219,0.482652
1.000000,9.000000,0.967769,2.067144,4.353833,0.483759
1.000000,10.000000,0.963821,2.062430,4.848650,0.484865
1.000000,11.000000,0.959892,2.057742,5.345666,0.485970
1.000000,12.000000,0.955982,2.053081,5.844875,0.487073
1.000000,13.000000,0.952092,2.048446,6.346274,0.488175
1.000000,14.000000,0.948220,2.043839,6.849856,0.489275
1.000000,15.000000,0.944369,2.039258,7.355615,0.490374
1.000000,16.000000,0.940537,2.034706,7.863545,0.491472
1.000000,17.000000,0.936725,2.030181,8.373640,0.492567
1.000000,18.000000,0.932934,2.025683,8.885890,0.493661
1.000000,19.000000,0.929164,2.021214,9.400290,0.494752
1.000000,20.000000,0.925414,2.016773,9.916830,0.495842
1.000000,21.000000,0.921686,2.012361,10.435502,0.496929
1.000000,22.000000,0.917979,2.007978,10.956296,0.498013
1.000000,23.000000,0.914294,2.003624,11.479202,0.499096
1.000000,24.000000,0.910631,1.999299,12.004210,0.500175
1.000000,25.000000,0.906990,1.995003,12.531309,0.501252
1.000000,26.000000,0.903372,1.990737,13.060488,0.502326
1.000000,27.000000,0.899776,1.986501,13.591734,0.503398
1.000000,28.000000,0.896204,1.982296,14.125035,0.504466
1.000000,29.000000,0.892655,1.978121,14.660377,0.505530
1.000000,30.000000,0.889129,1.973977,15.197746,0.506592
1.000000,31.000000,0.885627,1.969864,15.737129,0.507649
1.000000,32.000000,0.882150,1.965782,16.278510,0.508703
1.000000,33.000000,0.878697,1.961732,16.821873,0.509754
1.000000,34.000000,0.875269,1.957713,17.367202,0.510800
1.000000,35.000000,0.871865,1.953727,17.914479,0.511842
1.000000,36.000000,0.868487,1.949773,18.463688,0.512880
1.000000,37.000000,0.865135,1.945852,19.014810,0.513914
1.000000,38.000000,0.861809,1.941963,19.567826,0.514943
1.000000,39.000000,0.858509,1.938108,20.122715,0.515967
1.000000,40.000000,0.855235,1.934287,20.679458,0.516986
1.000000,41.000000,0.851989,1.930499,21.238034,0.518001
1.000000,42.000000,0.848769,1.926745,21.798420,0.519010
1.000000,43.000000,0.845577,1.923026,22.360595,0.520014
1.000000,44.000000,0.842413,1.919341,22.924534,0.521012
1.000000,45.000000,0.839277,1.915691,23.490213,0.522005
1.000000,46.000000,0.836169,1.912077,24.057609,0.522991
1.000000,47.000000,0.833090,1.908498,24.626694,0.523972
1.000000,48.000000,0.830040,1.904955,25.197443,0.524947
1.000000,49.000000,0.827019,1.901448,25.769829,0.525915
1.000000,50.000000,0.824029,1.897978,26.343823,0.526876
1.000000,51.000000,0.821068,1.894545,26.919397,0.527831
1.000000,52.000000,0.818137,1.891148,27.496522,0.528779
1.000000,53.000000,0.815237,1.887789,28.075166,0.529720
1.000000,54.000000,0.812368,1.884468,28.655300,0.530654
1.000000,55.000000,0.809531,1.881185,29.236890,0.531580
1.000000,56.000000,0.806725,1.877940,29.819905,0.532498
1.000000,57.000000,0.803951,1.874734,30.404310,0.533409
1.000000,58.000000,0.801210,1.871567,30.990071,0.534312
1.000000,59.000000,0.798501,1.868440,31.577153,0.535206
1.000000,60.000000,0.795825,1.865351,32.165520,0.536092
1.000000,61.000000,0.793182,1.862303,32.755135,0.536969
1.000000,62.000000,0.790573,1.859296,33.345960,0.537838
1.000000,63.000000,0.787998,1.856329,33.937957,0.538698
1.000000,64.000000,0.785458,1.853402,34.531087,0.539548
1.000000,65.000000,0.782952,1.850518,35.125309,0.540389
1.000000,66.000000,0.780481,1.847674,35.720581,0.541221
1.000000,67.000000,0.778045,1.844873,36.316864,0.542043
1.000000,68.000000,0.775645,1.842114,36.914113,0.542855
1.000000,69.000000,0.773281,1.839397,37.512286,0.543656
1.000000,70.000000,0.770954,1.836724,38.111338,0.544448
1.000000,71.000000,0.768663,1.834093,38.711224,0.545229
1.000000,72.000000,0.766409,1.831507,39.311898,0.545999
1.000000,73.000000,0.764192,1.828964,39.913315,0.546758
1.000000,74.000000,0.762013,1.826465,40.515426,0.547506
1.000000,75.000000,0.759872,1.824011,41.118183,0.548242
1.000000,76.000000,0.757769,1.821601,41.721539,0.548968
1.000000,77.000000,0.755705,1.819237,42.325443,0.549681
1.000000,78.000000,0.753680,1.816918,42.929844,0.550383
1.000000,79.000000,0.751694,1.814645,43.534693,0.551072
1.000000,80.000000,0.749747,1.812418,44.139938,0.551749
1.000000,81.000000,0.747841,1.810237,44.745526,0.552414
1.000000,82.000000,0.745974,1.808103,45.351404,0.553066
1.000000,83.000000,0.744148,1.806016,45.957519,0.553705
1.000000,84.000000,0.742363,1.803976,46.563817,0.554331
1.000000,85.000000,0.740619,1.801983,47.170244,0.554944
1.000000,86.000000,0.738916,1.800039,47.776743,0.555544
1.000000,87.000000,0.737255,1.798143,48.383259,0.556129
1.000000,88.000000,0.735635,1.796295,48.989737,0.556702
1.000000,89.000000,0.734058,1.794495,49.596118,0.557260
